4 BANDS
1 u 1 d 1 u 1 d 57.95
1 u 2 u 1 u 2 u 57.95
1 u 2 d 1 u 2 d 57.95
1 u 3 u 1 u 3 u 57.95
1 u 3 d 1 u 3 d 57.95
1 u 4 u 1 u 4 u 57.95
1 u 4 d 1 u 4 d 57.95
1 d 1 u 1 d 1 u 57.95
1 d 2 u 1 d 2 u 57.95
1 d 2 d 1 d 2 d 57.95
1 d 3 u 1 d 3 u 57.95
1 d 3 d 1 d 3 d 57.95
1 d 4 u 1 d 4 u 57.95
1 d 4 d 1 d 4 d 57.95
2 u 1 u 2 u 1 u 57.95
2 u 1 d 2 u 1 d 57.95
2 u 2 d 2 u 2 d 57.95
2 u 3 u 2 u 3 u 57.95
2 u 3 d 2 u 3 d 57.95
2 u 4 u 2 u 4 u 57.95
2 u 4 d 2 u 4 d 57.95
2 d 1 u 2 d 1 u 57.95
2 d 1 d 2 d 1 d 57.95
2 d 2 u 2 d 2 u 57.95
2 d 3 u 2 d 3 u 57.95
2 d 3 d 2 d 3 d 57.95
2 d 4 u 2 d 4 u 57.95
2 d 4 d 2 d 4 d 57.95
3 u 1 u 3 u 1 u 57.95
3 u 1 d 3 u 1 d 57.95
3 u 2 u 3 u 2 u 57.95
3 u 2 d 3 u 2 d 57.95
3 u 3 d 3 u 3 d 57.95
3 u 4 u 3 u 4 u 57.95
3 u 4 d 3 u 4 d 57.95
3 d 1 u 3 d 1 u 57.95
3 d 1 d 3 d 1 d 57.95
3 d 2 u 3 d 2 u 57.95
3 d 2 d 3 d 2 d 57.95
3 d 3 u 3 d 3 u 57.95
3 d 4 u 3 d 4 u 57.95
3 d 4 d 3 d 4 d 57.95
4 u 1 u 4 u 1 u 57.95
4 u 1 d 4 u 1 d 57.95
4 u 2 u 4 u 2 u 57.95
4 u 2 d 4 u 2 d 57.95
4 u 3 u 4 u 3 u 57.95
4 u 3 d 4 u 3 d 57.95
4 u 4 d 4 u 4 d 57.95
4 d 1 u 4 d 1 u 57.95
4 d 1 d 4 d 1 d 57.95
4 d 2 u 4 d 2 u 57.95
4 d 2 d 4 d 2 d 57.95
4 d 3 u 4 d 3 u 57.95
4 d 3 d 4 d 3 d 57.95
4 d 4 u 4 d 4 u 57.95
